date,time,obs_num,transect,plant_spp,section,photo,cond,ci,trmmol,VpdL,Area,stm_rat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,vp_kPa,VpdA
6/30/11,10:13:55,2,m4s,typha,t,12.41371938,0.535084328,327.168519,10.32482475,2.083742974,4.5,1,3.498695761,33.36808014,32.75967789,33.3941803,399.913269,381.5210266,18.44903946,29.71640587,34.91518784,56.23891449,400.1026917,1337.320801,1671.746094,2.900543578,2.169724986
6/30/11,10:15:14,3,m4s,typha,b,-1.618167355,0.064678542,425.0266477,1.620386921,2.414595387,5.5,1,3.059565276,33.28772354,30.68820572,33.38434219,399.7991333,401.130127,18.48455048,20.66611862,35.14086533,39.2882309,400.0768433,12.99622822,27.54909515,2.017199039,2.754632325
6/30/11,10:20:12,4,m4s,sac,b,-1.330717089,0.049370885,422.6288867,1.588551453,3.065532486,3,1,4.157391489,33.25717926,32.7700119,33.32745361,399.9465332,400.4673157,18.51929474,19.6869545,35.26782608,37.49149704,400.1022644,46.01560974,55.93919754,1.921654004,3.134313622
6/30/11,10:22:30,5,m4s,sac,t,17.18442632,0.323817721,280.958481,8.80611346,2.742717902,2.5,1,4.376956731,33.38637161,33.0699501,33.40315247,399.5568237,386.6917419,18.49254608,23.8635788,34.96191406,45.11635971,400.1077881,1503.23291,328.3833008,2.329279699,2.787957314
6/30/11,10:26:52,6,m4s,stab,t,15.73620512,0.419953055,309.5730951,12.46341897,3.0279092,1.5,1,4.816087216,33.34781265,33.77618027,33.33929825,399.6326599,391.901886,18.47445488,23.03939438,35.00207138,43.65089417,400.1017761,1514.044922,1363.972412,2.248755947,2.965092629
6/30/11,10:29:56,7,m4s,stab,b,-2.946304744,0.484327395,394.6390499,10.59135249,2.27596936,2,1,4.596521974,33.48450851,31.27898407,33.51103592,399.8084106,399.1678467,18.4745369,23.64381409,34.73402405,44.45279694,400.0920105,57.91440201,74.80712128,2.307670493,2.571563735
6/30/11,10:42:21,8,m4s,typha,t,12.33440628,0.629491076,332.5199473,9.950905429,1.764654414,5,1,3.279130518,33.38465881,32.23649597,33.39610291,399.6426086,379.508606,19.45596313,31.50004196,36.78759766,59.56069946,400.0908508,1007.424988,1541.255249,3.074720797,1.923863411
6/30/11,10:43:49,9,m4s,typha,b,-20.49165981,0.070711468,873.4874199,1.721974968,2.350019134,5.5,1,3.059565276,33.28609467,30.82635689,33.38428879,399.3103943,426.4701538,19.37057686,21.68638992,36.83036804,41.23355103,400.0959167,5.163202763,6.502009869,2.11688547,2.673415103
6/30/11,10:58:54,10,m4s,typha,t,23.56113556,0.550389272,285.5266475,12.15891623,2.356883388,3.5,1,3.937826246,33.48959351,33.49438477,33.43665695,399.8960266,375.2932434,18.73710251,29.06442833,35.22436142,54.63896561,400.0971375,1657.579102,1720.30542,2.837271347,2.356186781
6/30/11,10:59:58,11,m4s,typha,b,-2.589158483,0.235207493,405.2039744,4.866856305,2.081077178,4.5,1,3.498695761,33.44091415,30.65788651,33.47737503,399.9667053,400.6854858,18.65843773,24.00087166,35.17338562,45.24451447,400.1025391,13.91876793,20.62804794,2.343044079,2.445406958
6/30/11,11:02:15,12,m4s,sac,t,24.39405655,0.644358717,303.5392016,17.99025685,2.965836619,1.5,1,4.816087216,33.64155579,34.24401474,33.58926773,400.0388184,388.2733459,18.52322197,25.09927559,34.52936172,46.78786469,400.0586548,1641.980713,1751.033691,2.450329992,2.875651768
6/30/11,11:10:32,14,m4s,sac,b,-1.437844342,0.02094028,483.6665609,0.795188863,3.586555124,2,1,4.596521974,34.65372467,34.20326233,34.66353226,399.7760315,400.3356628,18.2244606,18.61457062,32.11081696,32.79817581,400.0854797,23.08426285,54.32775879,1.817333519,3.654717144
6/30/11,11:18:51,16,m4s,typha,t,20.28256564,0.553989925,290.4350643,10.74187002,2.118964953,5,1,3.279130518,34.1648941,33.49650192,34.20613861,399.5067444,369.2003174,18.50465584,31.50715256,33.50059891,57.04015732,400.0548706,1285.432861,613.4887695,3.075805481,2.21695352
6/30/11,11:20:42,17,m4s,typha,b,-0.51472426,0.05220321,396.7736023,1.534585835,2.81429118,5,1,3.279130518,33.93482208,32.06762314,34.02903748,399.8937073,399.7702942,18.39426231,20.27309036,33.73053741,37.1758461,400.1098022,21.07964897,27.56311798,1.979099197,3.073354861
6/30/11,11:23:11,18,m4s,typha,t,17.00683101,0.412488848,293.6900527,9.564317117,2.414269198,4,1,3.718261003,33.54428864,33.17669296,33.58065796,400.2326965,379.5994263,18.23839188,27.5374527,34.18206787,51.61020279,400.0808411,1421.972534,1504.006836,2.688212511,2.467132646
6/30/11,11:24:42,19,m4s,typha,b,0.370984749,0.056111362,368.6841812,1.79530094,3.05606894,3.5,1,3.937826246,33.35389709,32.72858429,33.42284393,400.2404785,399.2888489,18.12299347,19.66263771,34.33042908,37.24697876,400.0925598,10.68771839,14.66794586,1.919500951,3.144324777
6/30/11,11:42:13,20,m4s,typha,t,16.06419732,0.479362227,305.7835403,9.979723362,2.216537198,4.5,1,3.498695761,33.47766495,33.12515259,33.41682816,400.7420654,378.4248047,18.51740456,29.41261101,34.83393097,55.32939911,400.0646667,1292.773438,1399.153198,2.871205536,2.267094885
6/30/11,11:43:56,21,m4s,typha,b,-59.14088456,0.104792473,1338.518917,2.595057055,2.399957072,3.5,1,3.937826246,33.46063232,30.62758446,33.56125641,400.5191956,451.2288818,18.43389893,20.6570549,34.70998383,38.89605713,400.1103821,1484.413818,1115.588013,2.016506926,2.770510547
6/30/11,11:46:20,22,m4s,stab,t,10.81659215,0.623902431,344.3592657,14.21667027,2.441134923,2.5,1,4.376956731,33.84114456,33.08993912,33.7884903,400.742218,390.5154114,18.36543465,27.00795555,33.85411835,49.78540421,400.1351929,1798.939941,1921.152832,2.636559142,2.549213975
6/30/11,11:48:33,23,m4s,stab,b,4.409079501,0.070287411,276.8296554,2.302810162,3.135343289,3,1,4.157391489,34.16605377,33.10726547,34.13890839,400.5449219,396.5545044,18.25510406,19.94721603,33.04662323,36.10979843,400.1287537,8.609360695,40.61143875,1.94729294,3.288378851
6/30/11,11:57:33,26,m4s,sac,b,-1.026308269,0.148351478,390.3291028,4.743615007,3.106413392,2,1,4.596521974,34.9169426,33.03797913,34.96806335,400.1574402,399.7226257,17.71767616,20.04143333,30.76304436,34.79776382,400.0888062,46.78709412,58.39434433,1.956484685,3.379811615
